DATE_HOUR,FROM_STOP_NAME,TOTAL_PASSENGER
2024-07-15 17,Kattakkada,9
2024-07-15 17,Balaramapuram,1
2024-07-15 17,Malayinkeezh,1
2024-07-15 17,Valiyavila,1
2024-07-15 16,Thozhukkal,4
2024-07-15 16,Vellayambalam,6
2024-07-15 16,Statue,6
2024-07-15 16,Mangalathukonam,2
2024-07-15 16,Pappanamcode,11
2024-07-15 16,Statue Sbi,4
2024-07-15 16,10th Stone Patham Kallu,1
2024-07-15 16,Balaramapuram,45
2024-07-15 16,Museum Public Office Complex,1
2024-07-15 16,Kerala University,7
2024-07-15 16,Rotary,2
2024-07-15 16,Udiyankulangara,4
2024-07-15 16,Chittazha,1
2024-07-15 16,Neyyattinkara Bus Station,76
2024-07-15 16,Pattoor Junction,5
2024-07-15 16,Nemom,8
2024-07-15 16,Shangumukham,1
2024-07-15 16,Kamaleswaram,8
2024-07-15 16,Pothencode,5
2024-07-15 16,Valiyavila,1
2024-07-15 16,Tholicode,2
2024-07-15 16,Peyad,3
2024-07-15 16,Pettah Pallimukku Junction,1
2024-07-15 16,Punnamoodu,1
2024-07-15 16,Kumarichantha,1
2024-07-15 16,Poovar Bus Stand,2
2024-07-15 16,Vedivechan Kovil,2
2024-07-15 16,Murinjapalam,3
2024-07-15 16,Thiruvallam,2
2024-07-15 16,East Fort Bus Stand,40
2024-07-15 16,Kumarapuram,15
2024-07-15 16,Chellamagalam Panjayath,1
2024-07-15 16,Athiyanoor,6
2024-07-15 16,Kanjirampara,2
2024-07-15 16,Thampanoor Main Bus Stand,178
2024-07-15 16,Dpi Junction,3
2024-07-15 16,Nettayam,1
2024-07-15 16,Karakonam,1
2024-07-15 16,Dpi,4
2024-07-15 16,Puthiyathura Junction,1
2024-07-15 16,East Fort South Bus Stand,24
2024-07-15 16,East Fort,12
2024-07-15 16,Dhanuvachapuram Iti,1
2024-07-15 16,Chakai,2
2024-07-15 16,Venganoor,3
2024-07-15 16,Nellimoodu Junction,1
2024-07-15 16,Beema Pally,2
2024-07-15 16,Vizhinjam Bus Stand,4
2024-07-15 16,Peringammala,13
2024-07-15 16,Nedumangad Bus Stand,16
2024-07-15 16,Neeramankara,3
2024-07-15 16,Kaliyakkavilai Bus Stand,1
2024-07-15 16,Kochupally,1
