DATE_HOUR,FROM_STOP_NAME,TOTAL_PASSENGER
2024-06-30 17,Kanjiramkulam,1
2024-06-30 17,Thampanoor Main Bus Stand,4
2024-06-30 16,Thampanoor Main Bus Stand,109
2024-06-30 16,Vettukadu,5
2024-06-30 16,Vizhinjam Bus Stand,10
2024-06-30 16,Neyyattinkara Bus Station,10
2024-06-30 16,Kseb Chakkai,6
2024-06-30 16,Beema Pally,2
2024-06-30 16,Pazhayakada Junction,1
2024-06-30 16,East Fort Bus Stand,3
2024-06-30 16,Vedivechan Kovil,1
2024-06-30 16,Pothencode,9
2024-06-30 16,Pattoor Junction,1
2024-06-30 16,Cheriyakolla,1
2024-06-30 16,Balaramapuram,5
2024-06-30 16,Kochupally,4
2024-06-30 16,Shangumukham,9
2024-06-30 16,Kerala University,6
2024-06-30 16,Statue Sbi,12
2024-06-30 16,Ulloor,1
2024-06-30 16,Palayam Fine Arts College,5
2024-06-30 16,Pappanamcode,3
2024-06-30 16,Vellayambalam,5
2024-06-30 16,Thannimoodu,2
2024-06-30 16,Nemom,1
2024-06-30 16,Karakonam,3
2024-06-30 16,Chappath,2
2024-06-30 16,Kanjiramkulam,1
2024-06-30 16,Kumarichantha,8
2024-06-30 16,Kamaleswaram,1
2024-06-30 16,Kumarapuram,12
2024-06-30 15,Chakai,29
2024-06-30 15,Pattoor Junction,9
2024-06-30 15,Valiyathura Shangumugam,5
2024-06-30 15,Ulloor,26
2024-06-30 15,Pappanamcode,10
2024-06-30 15,Kattakkada,39
2024-06-30 15,Paraniyam,9
2024-06-30 15,Murukkumpuzha,2
2024-06-30 15,Statue Sbi,39
2024-06-30 15,Thampanoor Main Bus Stand,123
2024-06-30 15,Poovar Bus Stand,29
2024-06-30 15,Statue Bsnl,20
2024-06-30 15,Kumarichantha,5
2024-06-30 15,East Fort North Bus Stand,119
2024-06-30 15,Shangumukham Beach,32
2024-06-30 15,Neyyattinkara Bus Station,48
2024-06-30 15,Vayalikada,7
2024-06-30 15,Panangodu Junction,1
2024-06-30 15,Karamana Junction,4
2024-06-30 15,East South Fort Bus Stand,32
2024-06-30 15,Palayam Fine Arts College,7
2024-06-30 15,Chellamagalam Panjayath,2
2024-06-30 15,Kamaleswaram,7
2024-06-30 15,Kazhakkoottam,46
2024-06-30 15,Pattoor,2
2024-06-30 15,Shangumukham,19
2024-06-30 15,Parassala,6
2024-06-30 15,Karette,5
2024-06-30 15,Melathumele,1
2024-06-30 15,Kanjirampara,4
2024-06-30 15,Ks Road Kovalam Junction,2
2024-06-30 15,Valiyashala Mahadeva Temple,1
2024-06-30 15,10th Stone Patham Kallu,1
2024-06-30 15,Azhikode,5
2024-06-30 15,Pallichal Junction,3
2024-06-30 15,Karakonam,1
2024-06-30 15,Vandithadam,5
2024-06-30 15,Karakulam Palam,3
2024-06-30 15,Kaniyapuram,8
2024-06-30 15,Nilamamoodu,1
2024-06-30 15,Kumarapuram,8
2024-06-30 15,Pattom Sut Office,8
2024-06-30 15,Pachalloor School,4
2024-06-30 15,Kulasekharam,2
2024-06-30 15,Kuttichal,1
2024-06-30 15,Ambalathara,3
2024-06-30 15,Attingal Bus Station,5
2024-06-30 15,Murinjapalam,22
2024-06-30 15,Kerala University,8
2024-06-30 15,Kaliyakkavilai Bus Stand,9
2024-06-30 15,Vellayambalam,3
2024-06-30 15,Njadoorkonam,2
2024-06-30 15,Vattappara,5
2024-06-30 15,Kulathoor,1
2024-06-30 15,Korani Junction,5
2024-06-30 15,Nagaroor,1
2024-06-30 15,Pezhummoodu Junction,1
2024-06-30 15,Chirayinkeezhu Bus Stand,1
2024-06-30 15,Mannanthala,1
2024-06-30 15,Cheriyakolla,1
2024-06-30 15,Valiyarathala,1
2024-06-30 15,Maranalloor,1
2024-06-30 15,Aiyroopara,1
2024-06-30 15,Venjarammoodu Depot,2
2024-06-30 15,Balaramapuram,38
2024-06-30 15,Veli Lake,3
2024-06-30 15,Thannimoodu,5
2024-06-30 15,Nedumangad Bus Stand,62
2024-06-30 15,Nemom,12
2024-06-30 15,Vizhinjam Bus Stand,16
2024-06-30 15,World Market,117
2024-06-30 15,Mangalapuram,7
2024-06-30 15,East Fort South Bus Stand,33
